id,question_text,option1,option2,option3,option4,question_type,correct_option,source
5383,A 22-year-old primigravida at 10 weeks presents with severe LLQ pain. TVUS shows moderate free fluid. Most important early sign of ongoing bleeding?,Tachypnea,Tachycardia,Hypotension,Decreased urine output,obstetrics and gynecology,Tachycardia,general
5384,A 24-week pregnant woman with blood tests showing renal changes. Most expected finding?,Fall in creatinine,Increase in sodium,Increase in BUN,Unchanged BUN,obstetrics and gynecology,Fall in creatinine,general
5385,"A 35-year-old G3 P2002 at term with fetal head in fundus, spine parallel, knees extended, hips flexed. Arms flexed at elbows. Fetal presentation?",Frank breech,Complete breech,Compound breech,Incomplete breech,obstetrics and gynecology,Frank breech,general
5386,"A 37-week G3 P1011 at 28 weeks presents with vaginal spotting x2 weeks, fundal height = 18 weeks, no fetal movement or heartbeat. Most likely diagnosis?",Fetal demise,Missed abortion,Incomplete abortion,Gestational trophoblastic disease,obstetrics and gynecology,Fetal demise,general
5387,A 25-year-old with left ovarian cyst presents with sudden severe pain and nausea. Doppler shows reduced flow to left ovary. Most appropriate next step?,Conservative management,Repeat ultrasound in 24 hours,Laparoscopic cystectomy,Ultrasound-guided drainage,obstetrics and gynecology,Laparoscopic cystectomy,general
5388,A 55-year-old postmenopausal woman on estrogen presents with vaginal bleeding. Most appropriate treatment?,Add progesterone therapy,Stop estrogen,Shift to oral contraceptives,Insert IUCD,obstetrics and gynecology,Add progesterone therapy,general
5389,A 33-year-old single woman with incidental 5x5 cm subserosal fibroid. Most appropriate management?,Conservative,Myomectomy,Oral contraceptive pills,Uterine artery embolization,obstetrics and gynecology,Conservative,general
5390,A 33-year-old woman presents with heavy menstrual bleeding. Fundal mass felt. Most appropriate next step?,Pelvic MRI,Pelvic CT scan,Pelvic ultrasound,Ultrasound-guided biopsy,obstetrics and gynecology,Pelvic ultrasound,general
5391,A 25-year-old pregnant woman at 7 weeks presents with passed tissue and bleeding. Closed cervix. Most likely type of abortion?,Complete,Inevitable,Threatened,Incomplete,obstetrics and gynecology,Complete,general
5392,A 33-week pregnant woman with mild vaginal bleeding. Closed cervix. Ultrasound confirms 7-week viable IUP. Most likely diagnosis?,Missed,Inevitable,Threatened,Incomplete,obstetrics and gynecology,Threatened,general
5393,"A 17-year-old primigravida at 9 weeks presents with positive pregnancy test, closed cervix, mild bleeding. Crown-rump length = 9 weeks, heartbeat present. Most likely diagnosis?",Septic,Missed,Inevitable,Threatened,obstetrics and gynecology,Threatened,general
5394,A 25-year-old pregnant woman at 7 weeks presents with vaginal bleeding and open cervix. Ultrasound shows viable IUP. Most likely type of abortion?,Missed,Inevitable,Incomplete,Threatened,obstetrics and gynecology,Inevitable,general
5395,"A 25-year-old woman presents with vaginal bleeding and passed tissue. Open cervix, intrauterine tissue seen. Most likely diagnosis?",Complete,Inevitable,Incomplete,Threatened,obstetrics and gynecology,Incomplete,general
5396,"A 33-week pregnant woman presents with vaginal bleeding and passed tissue. Open cervix, moderate bleeding. Intrauterine tissue seen on TVUS. Best next step?",Conservative,IV oxytocin,IM methergine,Evacuation of uterine cavity,obstetrics and gynecology,Evacuation of uterine cavity,general
5397,"A 25-year-old at 7 weeks presents with mild bleeding. Closed cervix, ultrasound confirms viable IUP. Best management?",Conservative,IV oxytocin,Dilatation and curettage,IM methergine,obstetrics and gynecology,Conservative,general
5398,A 30-week pregnant woman presents to ER with abdominal pain and vaginal bleeding. Most appropriate next step?,Cesarean section,Vaginal exam,Ultrasound,Insert 2 large-bore IV lines,obstetrics and gynecology,Insert 2 large-bore IV lines,general
5399,A 33-week pregnant woman presents with painless vaginal bleeding. Most appropriate next step?,IV oxytocin,Cesarean section,Observe for 1 hour,Ultrasound to localize placenta,obstetrics and gynecology,Ultrasound to localize placenta,general
5400,A 35-year-old woman with vaginal discharge and burning. Husband has gonorrhea. Best diagnostic test?,Urine culture,Anogenital swab,Endocervical swab,High vaginal swab,obstetrics and gynecology,Endocervical swab,general
5401,"A 30-year-old woman with yellowish, fishy-smelling discharge and itching. Most likely diagnosis?",Candida vaginitis,Bacterial vaginosis,Gonorrhea,Trichomoniasis,obstetrics and gynecology,Bacterial vaginosis,general
5402,A 25-year-old woman with whitish vaginal discharge and itching. Most likely diagnosis?,Gonorrhea,Bacterial vaginosis,Candidiasis,Trichomoniasis,obstetrics and gynecology,Candidiasis,general
5403,A 53-year-old postmenopausal woman with dyspareunia. Last period was 18 months ago. Most appropriate management?,Depo-Provera injection,Oral contraceptive pills,Conjugated estrogen pills,Conjugated estrogen cream,obstetrics and gynecology,Conjugated estrogen cream,general
5404,A 60-year-old postmenopausal woman with intermittent vaginal bleeding. Most common cause?,Endometrial cancer,Endometrial polyp,Endometrial atrophy,Endometrial fibroid,obstetrics and gynecology,Endometrial atrophy,general
5405,A 50-year-old woman with hot flashes and insomnia. Most appropriate first-line management?,Soya tablet,Lifestyle modification,Local HRT,Systemic HRT,obstetrics and gynecology,Lifestyle modification,general
5406,A 35-year-old man and 26-year-old woman with 3 years of infertility. Wife had 3 cycles of Clomid. Next step?,Seminal analysis,Hysterosalpingography,Husband serum prolactin,Hormonal profile day 2,obstetrics and gynecology,Seminal analysis,general
5407,"A 20-year-old woman with primary infertility x1 year. Scanty, irregular cycles. Most important workup?",MRI pelvis,TSH serum level,Prolactin serum level,Chromosomal analysis,obstetrics and gynecology,Chromosomal analysis,general
5408,A 30-year-old woman presents with a history of the absence of her period for the last 3 months. Most appropriate test?,TSH level,FSH level,Pregnancy test,Ultrasound of the pelvis,obstetrics and gynecology,Pregnancy test,general
5409,A 23-year-old woman with heavy menstruation for the last 2 years. No other symptoms. Most likely diagnosis?,Pregnancy,Ovarian cyst,Endometrial cancer,Uterine leiomyomas,obstetrics and gynecology,Uterine leiomyomas,general
5410,A 43-year-old woman with history of pulmonary embolism 3 years ago seeks family planning. Most appropriate method?,Condom,Dermal patches,Intrauterine device,Oral contraceptive pills,obstetrics and gynecology,Intrauterine device,general
5411,A 23-year-old woman with 5x5 cm uterine fibroid found incidentally. Most appropriate next step?,Conservative,Myomectomy,Mefenamic acid,Oral contraceptive pills,obstetrics and gynecology,Conservative,general
5412,A 35-year-old woman with fibroid and heavy menstruation. Most appropriate next step?,Myomectomy,Correct the anemia,Oral contraceptive pills,Uterine artery embolization,obstetrics and gynecology,Correct the anemia,general
5413,"A 35-year-old woman with severe abdominal pain, primary infertility, underwent embryo transfer 3 weeks ago. Most likely diagnosis?",Ovarian torsion,Ectopic pregnancy,Acute appendicitis,Intestinal obstruction,obstetrics and gynecology,Ectopic pregnancy,general
5414,A 30-year-old woman with intermenstrual vaginal bleeding for 5 days. Most appropriate investigation?,CBC,TSH,Beta hCG,Ultrasound,obstetrics and gynecology,Beta hCG,general
5415,A 46-year-old obese woman with diabetes and heavy periods lasting 14 days. US shows 18 mm endometrial thickness. Most appropriate next step?,Pelvic CT,Pelvic MRI,Hysteroscopy,Clinical endometrial sample,obstetrics and gynecology,Clinical endometrial sample,general
5416,A 44-year-old woman with heavy vaginal bleeding. Most appropriate next step?,Hysterectomy,Mefenamic acid,Insert hormonal IUD,Dilation and curettage,obstetrics and gynecology,Dilation and curettage,general
5417,A 30-year-old woman with endometriosis and persistent pain. Tried NSAIDs. Next step in management?,Oral contraceptive pills,Oral progesterone therapy,Laparoscopic fulguration,Hysterectomy + BSO,obstetrics and gynecology,Oral progesterone therapy,general
5418,A 33-year-old nulliparous woman with cyclic pelvic pain and dyschezia. Laparoscopy performed. Most likely diagnosis?,Pelvic TB,Adenomyosis,Endometriosis,Pelvic inflammatory disease,obstetrics and gynecology,Endometriosis,general
5419,A 45-year-old multiparous woman with chronic pelvic pain and heavy menstruation. Pelvic MRI shows diffuse myometrial thickening. Best treatment?,Hysterectomy,Hormonal IUD,Oral contraceptive pills,Dilation and curettage,obstetrics and gynecology,Hysterectomy,general
5420,A 32-year-old nulligravida woman with HSIL Pap smear and CIS on biopsy. She wants to preserve fertility. Best next step?,Cryotherapy,Simple hysterectomy,Cold knife cone biopsy,Loop electrosurgical excision,obstetrics and gynecology,Cold knife cone biopsy,general
5421,A 42-year-old with heavy prolonged bleeding. Ultrasound shows 13 mm endometrium and 2.2 cm intrauterine lesion. Biopsy normal. Next step?,Sonohysterogram,Examination under anesthesia,MRI of uterus,Hemoglobin and coagulopathy screen,obstetrics and gynecology,Sonohysterogram,general
5422,A 42-year-old with heavy bleeding and 2.5x1.5 cm intrauterine lesion. Most likely cause?,Adenomyosis,Endometrial polyp,Submucosal leiomyoma,Dysfunctional uterine bleeding,obstetrics and gynecology,Endometrial polyp,general
5423,"A 58-year-old with pelvic heaviness, ascites, and 12 cm ovarian mass. Most appropriate treatment?",Surgery only,Radiation therapy,Surgery + chemotherapy,Surgery + radiation,obstetrics and gynecology,Surgery + chemotherapy,general
5424,A 24-year-old primigravida has 1000 cc vaginal bleeding after delivery. Uterus is firm. Most common cause?,Uterine atony,Coagulopathy,Genital tract laceration,Retained products,obstetrics and gynecology,Genital tract laceration,general
5425,"A 39-week G8P5126 with induction for decreased fetal movement. Develops fever, fetal tachycardia, and postpartum hemorrhage. Most likely cause?",Uterine atony,Placenta accreta,Cervical laceration,Vaginal laceration,obstetrics and gynecology,Uterine atony,general
5426,A 30-year-old post-twin vaginal delivery presents with active vaginal bleeding. Most likely cause?,Uterine atony,Coagulopathy,Genital tract trauma,Retained placental tissue,obstetrics and gynecology,Uterine atony,general
5427,"A 38-year-old with low-lying placenta delivers vaginally, then develops postpartum hemorrhage. Most likely diagnosis?",Coagulopathy,Uterine atony,Uterine inversion,Genital tract trauma,obstetrics and gynecology,Uterine atony,general
5428,"A 24-year-old at 38 weeks delivers vaginally, then has postpartum hemorrhage. Most likely cause?",Uterine atony,Cervical injury,Coagulation defect,Retained placental fragments,obstetrics and gynecology,Uterine atony,general
5429,A 50-year-old woman complains of urine leakage on coughing and sneezing. No urgency or frequency. Most likely physical finding?,Rectocele,Enterocele,Paravaginal defect,Hypermobile urethra,obstetrics and gynecology,Hypermobile urethra,general
5430,A 64-year-old healthy woman with constipation and digital assistance to defecate. Most appropriate treatment?,Simple hysterectomy,Anterior colporrhaphy,Posterior colporrhaphy,Enterocele resection,obstetrics and gynecology,Posterior colporrhaphy,general
5431,"A 58-year-old woman with pelvic pressure, vulvar atrophy, mucosal bulging. Most likely diagnosis?",Cystocele,Rectocele,Enterocele,Paravaginal defect,obstetrics and gynecology,Enterocele,general
5432,"A 44-year-old with vaginal bulging, urinary frequency, and history of 5 vaginal deliveries. Anterior vaginal wall bulge. Best management?",Kegel exercises,Vaginal pessary,Bladder suspension,Anterior colporrhaphy,obstetrics and gynecology,Anterior colporrhaphy,general
5433,A 54-year-old menopausal woman with urgency incontinence. Urodynamics show detrusor overactivity. Best treatment?,Kegel exercises,Anticholinergics,Bladder suspension,Anterior colporrhaphy,obstetrics and gynecology,Anticholinergics,general
5434,A 62-year-old postmenopausal woman with stress incontinence and second-degree prolapse. Best management?,Anterior colporrhaphy,Vaginal hysterectomy,Transobturator sling,Vaginal pessary,obstetrics and gynecology,Vaginal pessary,general
5435,"A 45-year-old woman with stress incontinence on coughing, laughing. No urgency. Most appropriate initial therapy?",Kegel exercises,Anticholinergics,Bladder suspension,Anterior colporrhaphy,obstetrics and gynecology,Kegel exercises,general
5436,"A 13-year-old girl has not started menstruation. Sparse pubic hair, breast buds with areolar enlargement. Tanner stage?",Tanner I,Tanner II,Tanner III,Tanner IV,obstetrics and gynecology,Tanner II,general
5437,A 30-year-old woman presents with vulvar pain. Exam shows ulcer with ragged edge and necrotic base. Most likely diagnosis?,Syphilis,Chancroid,Herpes simplex,Bartholin abscess,obstetrics and gynecology,Chancroid,general
5438,A 36-week pregnant woman with primary HSV infection. Acyclovir given. Rationale for treatment?,Increase immunity,Decrease transplacental transmission,Decrease HSV infection,Decrease viral shedding and duration,obstetrics and gynecology,Decrease viral shedding and duration,general
5439,A 34-week G2P1001 presents with vaginal bleeding and clots. Ultrasound shows placenta covering internal os. Most likely predisposing factor?,Diabetes,Hypertension,Multigestation,Chronic pelvic pain,obstetrics and gynecology,Multigestation,general
5440,"A 22-year-old primigravida at 39 weeks in labor. Cervix 5 cm dilated at -2 station. After 6 hours, retraction ring present, cervix 7 cm, station -1. Most likely diagnosis?",Preterm labor,Obstructed labor,Chorioamnionitis,Abruptio placenta,obstetrics and gynecology,Obstructed labor,general
5441,A 28-year-old woman at 34 weeks presents with constant abdominal pain and moderate vaginal bleeding. Uterus tender and firm. CTG shows unprovoked decelerations. Most likely diagnosis?,Cervical polyp,Placenta previa,Vaginal infection,Placental abruption,obstetrics and gynecology,Placental abruption,general
5442,A 29-week pregnant woman G2 P1 at 38 weeks with GBS bacteriuria and asthma. Which medication should be used during labor?,Folic acid,Oxytocin,Ampicillin,Betamethasone,obstetrics and gynecology,Ampicillin,general
5443,"A 30-year-old G4 P3 at 30 weeks presents with right flank pain, fever, and pus cells in urine. Most likely diagnosis?",Appendicitis,Pyelonephritis,Meckel's diverticulum,Round ligament torsion,medicine,Pyelonephritis,general
5444,"A 23-year-old G2 P1 at 40 weeks in labor with painful contractions. Cervix 3 cm, membranes rupture on admission. Most likely diagnosis?",Preterm labor,Premature rupture of membranes,Spontaneous rupture of membranes,Preterm premature rupture,obstetrics and gynecology,Spontaneous rupture of membranes,general
6853,"A 20-year-old pregnant woman presented with loss of fetal movements, followed by decreased urinary output and difficulty breathing (see lab results and report). Test Result Normal Values Hb 100 120-160 g/L DLCO 70 75-140% Platelets count 75 150-400 x 109/L Creatinine 105 44-115 mol/L Prothrombin time 24 10-13 sec APTT 60 30-40 sec Fibrinogen 1.6 2-4 g/L Chest X-ray: Diffuse ground glass opacities. Which of the following is the most appropriate diagnosis?",Acute glomerulonephritis,Acute amniotic embolism,Disseminated intravascular coagulation,Autoimmune thrombocytopenic purpura,obstetrics and gynecology,Acute amniotic embolism,Midgard
5446,A 39-week pregnant woman at 12 weeks gestation. Ultrasound shows single viable fetus with cystic hygroma. Most appropriate diagnostic step?,Amniocentesis,Chorionic villus sampling,Termination of pregnancy,Percutaneous umbilical blood sampling,obstetrics and gynecology,Chorionic villus sampling,general
5447,A 32-week pregnant woman G2 P1 at 12 weeks with IDDM for 12 years. Most likely complication?,Preeclampsia,Polyhydramnios,Postpartum hemorrhage,Congenital malformations,obstetrics and gynecology,Congenital malformations,general
5448,A 28-year-old twin pregnancy G2 P1 at 33 weeks with iron deficiency anemia. Indication for IV iron therapy?,Constipation,Multiple pregnancy,Hemoglobin 10 g/dL,Moderate and severe anemia,obstetrics and gynecology,Moderate and severe anemia,general
5449,A 25-year-old primigravida at 15 weeks` gestation. Most expected finding in blood work?,20–25% increased hematocrit,40–45% decreased hematocrit,20–25% increase in total blood volume,40–45% increase in total blood volume,obstetrics and gynecology,40–45% increase in total blood volume,general
5450,A 20-year-old nulliparous woman requests contraception. History of menorrhagia and dysmenorrhea. Best method?,Progesterone-only pills,Depo-Provera injection,Combined oral contraceptive pills,NSAIDs,obstetrics and gynecology,Combined oral contraceptive pills,general
5452,"A 24-week primigravida at 11 weeks presents with lethargy, constipation, cold intolerance. Most appropriate management?",Propylthiouracil,Multivitamins,Thyroxine,Laxatives,medicine,Thyroxine,general
5453,A 36-year-old G2 P1 at 32 weeks for routine prenatal care. Occasional Braxton Hicks and mucus discharge. Most appropriate next step?,Anti-D immunoglobulin,Rubella antibody test,Glucose tolerance test,Follow-up in 2 weeks,obstetrics and gynecology,Follow-up in 2 weeks,general
5454,A 26-year-old primigravida tested positive on home pregnancy test. LMP 36 days ago. Had rubella vaccine 3 weeks ago. Most likely outcome?,Favorable pregnancy outcome,4x increased risk of malformation,IUFD in third trimester,Spontaneous abortion in first trimester,obstetrics and gynecology,Favorable pregnancy outcome,general
5455,"A 38-week pregnant woman at 35 weeks with headache, facial edema, brisk reflexes. Most likely urinalysis finding?",Glycosuria,Proteinuria,Hematuria,Ketonuria,obstetrics and gynecology,Proteinuria,general
5456,A 70-year-old woman with vaginal vault prolapse and deficient perineum after hysterectomy. Most appropriate management?,Vaginal repair with sacrospinous fixation,Anteroposterior repair,Vaginal pessary,Colpocleisis,obstetrics and gynecology,Vaginal repair with sacrospinous fixation,general
5457,"A 38-week pregnant woman G9 P6026 at 9 weeks with spotting, mild pain. US shows 5-week sac, no fetal pole. Most appropriate next step?",Misoprostol,Mifepristone,Dilation and curettage,Conservative management,obstetrics and gynecology,Conservative management,general
5458,"A 26-year-old postpartum woman presents with insomnia, fatigue, sadness 5 days after delivery. Most appropriate management?",SSRI,Benzodiazepines at night,Follow-up in 1 week,Multivitamins,medicine,SSRI,general
5459,A 44-year-old woman with second-degree uterine descent and cystorectocele. Most appropriate management?,Posterior colpoperineorrhaphy,Vaginal hysterectomy,Anterior colporrhaphy,Manchester operation,obstetrics and gynecology,Anterior colporrhaphy,general
5460,A 49-year-old obese woman (BMI 48) with pelvic organ prolapse. Most expected type?,Cystocele,Enterocele,Rectocele,Uterine prolapse,obstetrics and gynecology,Rectocele,general
6808,"A 39-year-old woman, who is a mother of 3 children and has completed her family, she is a known case of endometrioma in the right ovary that has been removed 2 years ago. She came to the clinic complaining of mild to moderate dysmenorrhea and deep pain during intercourse along with her chronic lower abdomen pain. Pelvic ultrasonography revealed the presence of left ovarian cyst measuring 6X7 cm that appeared to be an endometriotic cyst. Which of the following is the most appropriate next step?",Removing the cyst when the size becomes more than 10 cm,Aspiration of the content of cyst under ultrasound guidance,Total abdominal hysterectomy and bilateral salpingo-oophorectomy,Removing the cyst laparoscopically with ablation of any endometriotic spot,obstetrics and gynecology,Removing the cyst laparoscopically with ablation of any endometriotic spot,Midgard
5462,A 23-year-old primigravida at 30 weeks in threatened preterm labor. Received steroids. Rationale for administration?,VII nerve damage,Pneumothorax,Hypoglycemia,Respiratory distress syndrome,obstetrics and gynecology,Respiratory distress syndrome,general
6809,"A 35-year-old woman delivered her fifth baby by vacuum extraction due to prolonged second stage of labor 3 months ago. The woman was complaining of leakage of urine when she coughed, sneezed or laughed. The symptoms have started after delivery and persisted since then. Which of the following is the most likely diagnosis?",Detrusor instability,Stress incontinence,Urethro-vaginal fistula,Over flow incontinence,obstetrics and gynecology,Stress incontinence,Midgard
5464,A 38-year-old woman with 2-year depression presents for follow-up. Husband concerned about suicide. No substance use. No eye contact. Most significant suicide risk factor?,Patient's age,Female gender,Social isolation,Absence of serious medical illness,medicine,Social isolation,general
5465,A 32-year-old HIV-positive man with 6 mm PPD and normal CXR. Best preventive measure?,No treatment,INH + pyridoxine for 9 months,INH + pyridoxine for 3 months,INH + rifampin + pyrazinamide + ethambutol for 9 months,medicine,INH + pyridoxine for 9 months,general
5466,A 27-week pregnant woman at full term in labor. Known to have uncontrolled diabetes. Most likely neonatal complication?,Hyperglycemia,Low hemoglobin,Low erythropoietin,Respiratory distress syndrome,obstetrics and gynecology,Respiratory distress syndrome,general
5467,"A primipara presents 1 week postpartum with tearfulness, crying spells, poor appetite and sleep. Most likely diagnosis?",Anemia,Schizophrenia,Manic disorder,Postnatal depression,obstetrics and gynecology,Postnatal depression,general
5468,A 30-week pregnant woman G1 P0 at 17 weeks with epilepsy on valproic acid. Most increased fetal abnormality?,Oligohydramnios,Polyhydramnios,Neural tube defect,Non-immune hydrops,obstetrics and gynecology,Neural tube defect,general
5469,A 28-week pregnant woman at 8 weeks with chronic HTN. Which antihypertensive is contraindicated?,Labetalol,Nifedipine,Lisinopril,Methyldopa,obstetrics and gynecology,Lisinopril,general
5470,A 28-year-old G4 P3 at 12 weeks with prior preeclampsia and fetal growth restriction. Which intervention reduces risk in current pregnancy?,Aspirin,Progesterone,Multivitamins,Ferrous sulfate,obstetrics and gynecology,Aspirin,general
5471,A 22-year-old G2 P0 at 13 weeks with prior painless fetal loss at 22 weeks. Most recommended intervention?,Aspirin,Folic acid,Cervical cerclage,Regular antenatal visits,obstetrics and gynecology,Cervical cerclage,general
5472,A 30-year-old primigravida diagnosed with hyperthyroidism during pregnancy. Most contraindicated treatment?,Propranolol,Methimazole,Thyroidectomy,Radioactive iodine,obstetrics and gynecology,Radioactive iodine,general
5473,A 28-week pregnant woman with oligohydramnios on ultrasound. Most likely cause?,Chorioangioma,Duodenal atresia,Diabetes mellitus,Placental insufficiency,obstetrics and gynecology,Placental insufficiency,general
5474,A 36-week pregnant woman with polyhydramnios. Most likely cause?,Anencephaly,Post-term pregnancy,Posterior urethral valve,Maternal NSAID use,obstetrics and gynecology,Anencephaly,general
6970,A 34-year-old woman presented with profuse milky vaginal discharge. Office diagnosis demonstrates fishy odor (positive Whiff test). A wet-mount preparation of the discharge (see image). Which of the following is the most likely diagnosis?,Mycoplasmas,Trichomoniasis,Bacterial vaginosis,Vulvovaginal candidiasis,obstetrics and gynecology,Bacterial vaginosis,Midgard
5476,A 23-week pregnant woman with fetal hydrops and MCA Doppler >1.8 MOM. Most likely cause?,Aneuploidy,Cervical teratoma,Anti-Kell antibodies,Diaphragmatic hernia,obstetrics and gynecology,Anti-Kell antibodies,general
5477,A 30-week G2 P1 at 33 weeks with decreased fetal movement. Most reassuring biophysical profile score?,6/10,8/10,9/10,12/12,obstetrics and gynecology,8/10,general
5478,A nurse evaluates CTG of a 39-week pregnant woman in labor. Which deceleration is associated with cord compression?,Variable deceleration,Early deceleration,Late deceleration,Variable deceleration,obstetrics and gynecology,Variable deceleration,general
5479,A 32-week pregnant woman at 25 weeks with left calf pain and swelling. Positive Homan's sign. Most appropriate diagnostic test?,MRI,D-Dimer,Venography,Compression ultrasonography,obstetrics and gynecology,Compression ultrasonography,general
5480,A 28-year-old diabetic on insulin with no family history. Which fetal risk is same as general population?,Hydramnios,Macrosomia,Fetal cystic fibrosis,Preeclampsia and eclampsia,obstetrics and gynecology,Fetal cystic fibrosis,general
5481,A 30-week pregnant woman at 30 weeks with severe preeclampsia and right upper quadrant pain. Most likely cause?,Esophagitis,Pancreatitis,Gastric ulcer,Liver capsule tension,obstetrics and gynecology,Liver capsule tension,general
5483,A 30-week G4 P3 at 34 weeks with severe preeclampsia. Which lab value is most likely significantly decreased?,Serum urea,Uric acid level,Plasma volume,Serum creatinine,obstetrics and gynecology,Plasma volume,general
5484,"A 26-year-old primigravida at 23 weeks with vaginal bleeding. Fetus viable, cervical length 20 mm. Best management?",Tocolytic therapy,Antenatal corticosteroids,Conservative management,Cervical cerclage,obstetrics and gynecology,Conservative management,general
5485,A 27-week primigravida with placental abruption at 32 weeks. Bleeding settled. Best antenatal care plan?,Continue hospital admission,Continue low-risk care,"Reclassify as high-risk, serial ultrasound",Continue low-risk care with serial ultrasound,obstetrics and gynecology,"Reclassify as high-risk, serial ultrasound",general
5486,A 25-year-old primigravida at 34 weeks presents with generalized pruritus and jaundice. Most important investigation?,Ultrasound for fetal weight,Bile acids and liver function tests,Coagulation profile,Presenting symptoms of the mother,obstetrics and gynecology,Bile acids and liver function tests,general
5488,A 20-year-old primigravida at 8 weeks with sickle cell disease. Best folic acid regimen?,5 mg throughout pregnancy,5 mg until 12 weeks,400 mg throughout pregnancy,400 mg until 12 weeks,obstetrics and gynecology,5 mg throughout pregnancy,general
6810,"A post-menopausal woman undergoing tamoxifen treatment for breast cancer, she had her last gynecological assessment by ultrasonography during her pre-menopausal period 5 years ago. At that time, she had intramural uterine fibroid measuring 2 x 3 cm. The patient complained of on and off moderate amount of vaginal bleeding and her ultrasound confirmed intramural uterine fibroid measuring 5 x 8 cm and homogenous endometrium 5 mm in thickness. Which of the following is the most likely diagnosis?",Leiomyoma,Leiomyosarcoma,Endometrial adenocarcinoma,Metastatic ovarian carcinoma,obstetrics and gynecology,Leiomyosarcoma,Midgard
5490,A 40-year-old nulliparous woman with history of breast cancer plans pregnancy. How long should she wait before conception?,3 months,9 months,2 years,5 years,obstetrics and gynecology,2 years,general
5491,A 30-year-old with sickle cell trait at 8 weeks gestation. Which complication is more common in her case?,Chest infection,Placental abruption,Urinary tract infection,Intrauterine growth restriction,obstetrics and gynecology,Urinary tract infection,general
5492,A 36-year G4P3003 at 36+5 weeks in preterm labor with polyhydramnios. Fetal bradycardia after ROM. What must be excluded by vaginal exam?,Cord prolapse,Breech presentation,Placental abruption,Shoulder/arm prolapse,obstetrics and gynecology,Cord prolapse,general
5493,A 36-year-old with 2 previous C-sections now has placenta previa and accreta at 32 weeks. Best time for elective C-section?,36–37 weeks,38 weeks,39 weeks,Full term,obstetrics and gynecology,36–37 weeks,general
5494,A 40-year-old G4P2012 at 41+5 weeks with induction. Suddenly develops bleeding and shock. Most likely diagnosis?,Placenta previa,Ruptured uterus,Placental abruption,Hypersensitivity to prostaglandin,obstetrics and gynecology,Ruptured uterus,general
5495,A 40-year-old G4P30Q3 at 32 weeks presents with RUQ pain. Most likely cause?,Cholelithiasis,Cholecystitis,Hepatic rupture,Hepatic capsule distension,obstetrics and gynecology,Hepatic capsule distension,general
5496,"A 34-year-old woman presents with premenstrual headache, anxiety, and mastalgia. Most likely diagnosis?",Endometriosis,Perimenopausal symptoms,Pelvic congestion syndrome,Premenstrual tension syndrome,obstetrics and gynecology,Premenstrual tension syndrome,general
5497,A 26-year-old primigravida at 16 weeks presents with nausea and vomiting. Most likely cause?,Iron deficiency,Folate deficiency,Vitamin B12 deficiency,Physiologic anemia of pregnancy,obstetrics and gynecology,Folate deficiency,general
5498,A 30-year-old G4P3003 at 39 weeks delivered a 30.5 kg baby. Uterus inverted and reduced. Most likely placental site?,Fundal,Lateral,Anterior,Posterior,obstetrics and gynecology,Fundal,general
5499,A 25-year-old primigravida at term. Placenta not delivered after 30 minutes. Best next step?,IV oxytocin,Intravaginal misoprostol,Wait 30 more minutes,Manual extraction of placenta,obstetrics and gynecology,Manual extraction of placenta,general
5500,A 37-year-old G4P3003 at 40 weeks had inverted uterus after delivery. Bleeding 1200 cc. Most likely cause of bleeding?,Trauma to blood vessels,Muscular injuries and laceration,Inadequate myometrial contractions,Local coagulopathy,obstetrics and gynecology,Inadequate myometrial contractions,general
5501,A 25-year-old primigravida at 35 weeks with PROM and oxytocin augmentation. Fetal distress noted. Best step to improve fetal oxygenation?,Change to supine position,Cease oxytocin to improve placental perfusion,Epidural analgesia,Morphine sulfate,obstetrics and gynecology,Cease oxytocin to improve placental perfusion,general
5502,A 27-year-old woman with >700 cc postpartum bleeding unresponsive to medical treatment. Patient wants future pregnancies. Best structure to ligate?,Utero-ovarian ligament,External iliac artery,Internal iliac artery,Internal iliac vein,obstetrics and gynecology,Internal iliac artery,general
5503,A 30-year-old G5P3013 with placental abruption and bleeding from venipuncture sites. Best next step in management?,Coagulopathy correction,Internal iliac ligation,Uterine packing,B-Lynch suture,obstetrics and gynecology,Coagulopathy correction,general
6811,"A 48-year-old asymptomatic woman attended the Gynecology Clinic for her Pap smear screening. During pelvic examination, pelvic mass was felt, further assessment by transvaginal ultrasonography indicated the presence of solitary uterine fibroid on the uterine fundus measuring 5 x 6 cm. Which of the following is the most appropriate management?",Immediate myomectomy,Immediate hysterectomy,Regular follow up with yearly pelvic ultrasound,Regular follow up with pelvic ultrasound and complete blood count every two months,obstetrics and gynecology,Regular follow up with yearly pelvic ultrasound,Midgard
5505,A 35-year-old G9P6026 at 8 weeks with vaginal spotting and closed cervix. Ultrasound shows 5-week gestation with no fetal pole. Best next step?,Suction curettage,Prostaglandin E2,Expectant management,Abortifacient with antibiotics,obstetrics and gynecology,Expectant management,general
5506,A 27-year-old G4P2103 at 37 weeks with moderately severe vaginal bleeding. Ultrasound shows low-lying placenta. Best management?,Induction of labor,Cesarean delivery,Expectant management,Digital exam to assess cervix,obstetrics and gynecology,Cesarean delivery,general
