"id","question_text","option1","option2","option3","option4","question_type","correct_option"
1161,"A 24-year-old woman presents with yellow offensive vaginal discharge and itching. Wet prep shows motile flagellate organisms. Most appropriate treatment?","Tetracycline","Cefuroxime","Nitrofurantoin","Metronidazole","obstetrics and gynecology","Metronidazole"
1162,"A 24-year-old married woman with Trichomonas vaginalis. Treated with metronidazole. What should be done for her husband?","Tetracycline","Metronidazole","No treatment","Follow-up in 2 weeks","obstetrics and gynecology","Metronidazole"
1163,"What is the most common risk factor for placental abruption?","Folate deficiency","Short umbilical cord","Maternal hypertension","Premature rupture of membranes","obstetrics and gynecology","Maternal hypertension"
1164,"Which is the most common cause of DIC in pregnancy?","Uterine rupture","Placenta previa","Placental abruption","Congenital bleeding disorder","obstetrics and gynecology","Placental abruption"
1165,"A 36-year-old asymptomatic woman with 5 cm subserous fibroid. Most appropriate management?","Myomectomy","Hysterectomy","Endometrial biopsy","Clinical surveillance","obstetrics and gynecology","Clinical surveillance"
1166,"A 32-year-old obese woman with irregular menses and chronic anovulation diagnosed with atypical complex endometrial hyperplasia. Most definitive treatment?","Letrozole","Tamoxifen","Spironolactone","Oral progesterone","obstetrics and gynecology","Oral progesterone"
1167,"A 24-week primigravida heavy smoker presents with sudden painful vaginal bleeding and uterine tenderness. Most likely diagnosis?","Placenta previa","Uterine rupture","Abruptio placentae","Fetal vessel rupture","obstetrics and gynecology","Abruptio placentae"
1168,"What is the most common cause of postpartum hemorrhage?","Uterine atony","Uterine inversion","Genital tract trauma","Amniotic fluid embolism","obstetrics and gynecology","Uterine atony"
1169,"A woman with primary postpartum hemorrhage due to uterine atony. First-line treatment?","Oxytocin","Ergonovine","Carboprost","Misoprostol","obstetrics and gynecology","Oxytocin"
1170,"A 58-year-old woman presents with postmenopausal bleeding. Pelvis exam shows fungating cervical mass. Most diagnostic test?","Pap smear","Pelvic MRI","Colposcopy","Cervical biopsy","obstetrics and gynecology","Cervical biopsy"
1171,"A 22-year-old woman at 6 weeks gestation presents with vaginal bleeding, abdominal pain, shoulder tip pain. Hypotensive, tachycardic. Cervix tender. No intrauterine pregnancy on ultrasound. Next step?","Laparoscopy","Methotrexate","Prostaglandins","Expectant management","obstetrics and gynecology","Laparoscopy"
1172,"Most common type of vulvar neoplasm?","Melanoma","Adenocarcinoma","Basal cell carcinoma","Squamous cell carcinoma","obstetrics and gynecology","Squamous cell carcinoma"
1173,"A 45-year-old woman with vulvar intraepithelial neoplasia and carcinoma in situ. Localized lesion. Best management?","Vulvectomy","Laser therapy","Chemoradiation","Local superficial excision","obstetrics and gynecology","Local superficial excision"
1174,"A 22-year-old woman refuses to be examined by male doctor. She has sexual function disorders and requests female provider. Most appropriate action?","Reject request","Respect request","Convince her to accept male doctor","Discharge from clinic","obstetrics and gynecology","Respect request"
1175,"A 42-year-old woman P6036 complains of vaginal fullness, heaviness, stress incontinence, and manual pressure needed to empty bladder. Most likely diagnosis?","Cystocele","Rectocele","Enterocele","Procidentia","obstetrics and gynecology","Cystocele"
1176,"A 30-year-old woman undergoing laparotomy for ovarian cyst. Smoker on combined OCP for 6 years. Develops tachycardia, hypoxemia, hypotension intraoperatively. Most likely diagnosis?","Hemorrhage","Septic shock","Myocardial infarction","Pulmonary embolism","obstetrics and gynecology","Pulmonary embolism"
1177,"A 30-year-old primigravid woman at 24 weeks presents with fatigue, facial rash, oral ulcers, joint pain, and swelling. Protein negative. Most likely diagnosis?","Osteoarthritis","Rheumatoid arthritis","Carpal tunnel syndrome","Systemic lupus erythematosus","obstetrics and gynecology","Systemic lupus erythematosus"
1178,"Which estrogen is most abundant in human pregnancy?","Estriol","Estrone","Cortisol","Estradiol","obstetrics and gynecology","Estriol"
1179,"A 12-year-old girl presents with recurrent lower abdominal cramps radiating to back/thighs since menarche. Pain with menstruation. Best treatment?","NSAIDs","Tocolytics","Progestins","Oral contraceptives","obstetrics and gynecology","NSAIDs"
1180,"A 34-year-old woman presents with profuse milky vaginal discharge and positive Whiff test. Wet mount image provided. Most likely diagnosis?","Mycoplasma","Trichomoniasis","Bacterial vaginosis","Vulvovaginal candidiasis","obstetrics and gynecology","Bacterial vaginosis"
1181,"A 26-year-old woman presents with vaginal discharge that is characterized by a thin milky appearance with a fishy odor. On examination, the vaginal pH of 4.5 was found. Which of the following is the most likely diagnosis?","Trichomonas vaginalis infection","Group B strep colonization","Bacterial vaginosis","Gonorrhea","obstetrics and gynecology","Bacterial vaginosis"
1182,"A 30-year-old hospitalized woman post cesarean section was treated for 6 days with clindamycin and cefuroxime for post-partum endometritis when she developed profuse, watery diarrhea, cramping abdominal pain and fever. An enzyme immunoassay of the stool revealed the presence of a bacterial enterotoxin. Which of the following is the most appropriate treatment?","Ciprofloxacin","Metronidazole","Amoxicillin plus clavulanate","Continue the same medication","obstetrics and gynecology","Metronidazole"
1183,"Which of the following positions of a patient in labour would most likely result in the development of a third or fourth-degree laceration?","Unrestrained legs and semi-sitting","Unrestrained legs and squatting","Unrestrained legs and in chair","Restrained legs and stirrups","obstetrics and gynecology","Restrained legs and stirrups"
1184,"A 30-year-old woman G4 P3003 at 34 weeks of pregnancy with breech presentation is asking about the possibility of external cephalic version. Her first delivery was a caesarean section and was followed by a spontaneous vaginal delivery 4 years ago; she has no other significant medical or surgical history. The ultrasound shows a single viable fetus of 3.2 kg with an anterior low-lying placenta and an amniotic fluid index of 4 cm. On examination, the patient is found to be in early labor and the pelvic assessment reveals a 3 cm dilated cervix with intact membranes. Cardiotocography is done. Which of the following indicates the absolute contraindication for external cephalic version?","Cardiotocography findings and gestational age","Previous history of cesarean section","Pelvic examination findings","Ultrasound findings","obstetrics and gynecology","Ultrasound findings"
1185,"There are many characteristics that may differentiate a malignant from benign adnexal masses by ultrasound images. Which of the following ultrasound characteristics of a mass is suggestive of a benign ovarian cyst?","Bilateral","Fixed mass","Hypoechoic","Multilocular with thick septation","obstetrics and gynecology","Hypoechoic"
1186,"A 42-year-old P3 is seeking advice for the possibility of insertion of an intrauterine contraceptive device for family planning. The patient's history reveals that she became pregnant while using an intrauterine contraceptive device 4 years ago and in her second pregnancy, she underwent a cesarean section which was complicated by post-partum endometritis. Her menstrual cycles are irregular for the last 4 months with heavier flow than usual. Which of the following is an absolute contraindication to the insertion of an intrauterine contraceptive device?","History of postpartum endometritis","Previous pregnancy with an IUCD","History of cesarean section","Abnormal genital bleeding","obstetrics and gynecology","Abnormal genital bleeding"
1187,"A woman presents to the Emergency Department 15 days after giving birth by cesarean section. She complains of persistent vaginal bleeding. Blood pressure 110/70 mmHg, Heart rate 85 /min, Temperature 38.1 °C. Which of the following is the most likely diagnosis?","Mastitis","Endometritis","Wound infection","Retained products of conception","obstetrics and gynecology","Endometritis"
1188,"A 29-year-old woman is planning to become pregnant. She has a normal menstrual period every 30 days. Which of the following is the most appropriate to prescribe?","Folic acid","Multivitamin","Ferrous fumarate","Calcium supplementation","obstetrics and gynecology","Folic acid"
1189,"A 30-year-old pregnant un-booked patient is presenting to the Emergency Room with vaginal bleeding. The patient denies any abdominal pain and did not feel the fetal movements for the last few hours, and she was finally able to attend to the Emergency Room as she had no form of transport to the hospital. Abdominal examination reveals a 34 cm fundal height. Which of the following is the most appropriate next step in management?","Perform an ultrasound","Perform laboratory tests","Admit the patient to the ward","Perform a pelvic digital assessment","obstetrics and gynecology","Perform an ultrasound"
1190,"A 32-year-old pregnant woman at 36 weeks attends to the clinic complaining of abdominal pain that has been increasing in nature and is noted to be continuous. The patient denies any bleeding. Abdominal examination reveals a 38 cm fundal height, and the uterus was found to be tender and tense. Pelvic examination reveals a closed and uneffaced cervical os. The cardiotocogram shows category 1. Which of the following is the most likely diagnosis?","False labor","Active labor","Abruptio placenta","Fibroid red degeneration","obstetrics and gynecology","Abruptio placenta"
1191,"A 22-year-old G3 P0020 with a history of 2 miscarriages presents to the Emergency Room with mild vaginal bleeding. She denies history of passage of tissue. The last menstruation started 6 weeks ago. She complains of cough associated with hemoptysis for the last few days. On examination, the uterus is 12 weeks in size and is slightly tender. Pelvic examination reveals aggressive looking, irregular mass that bleeds on touch arising from the cervix. Which of the following is the most likely diagnosis?","Partial mole","Fibroid uterus","Choriocarcinoma","Ectopic pregnancy","obstetrics and gynecology","Choriocarcinoma"
1192,"A 22-year-old G3 P0020 with a history of 2 miscarriages presents to the Emergency Room with mild per vaginal bleeding. She denies history of passage of tissue. The last menstruation started 6 weeks ago. She complains of cough associated with hemoptysis for the last few days. On examination, the uterus is 12 weeks in size and is slightly tender. Pelvic examination reveals aggressive looking, irregular mass that bleeds on touch arising from the cervix. Which of the following is the most appropriate next step?","Biopsy the mass","Admit for suction evacuation","Admit for staging and chemotherapy","Admit for preoperative workup for hysterectomy","obstetrics and gynecology","Admit for staging and chemotherapy"
1193,"A 30-year-old G3 P2002 at 8 weeks of gestation presents to the Emergency Room complaining of mild per vaginal bleeding. She denies history of passage of tissue and on examination the abdomen is soft and non-tender. Pelvic examination reveals a healthy normally looking, closed cervical os with evidence of brownish discharge and no active bleeding seen. Bedside Ultrasound: Reveals an intrauterine pregnancy with a crown-rump length of 7 weeks. Which of the following is the most likely diagnosis?","Anembryonic pregnancy","Incomplete miscarriage","Inevitable miscarriage","Threatened miscarriage","obstetrics and gynecology","Threatened miscarriage"
1194,"A 30-year-old G3 P2002 at 8 weeks of gestation presents to the Emergency Room complaining of mild per vaginal bleeding. She denies history of passage of tissue and on examination the abdomen is soft and non-tender. Pelvic examination reveals a healthy normally looking, closed cervical os with evidence of brownish discharge and no active bleeding noted. Bedside Ultrasound: Reveals an intrauterine pregnancy with a crown-rump length of 7 weeks. Which of the following is the most appropriate management?","Reassurance","Administer aspirin","Admit for evacuation","Admit for observation","obstetrics and gynecology","Reassurance"
1195,"A 30-year-old woman G3 P2002 at 38 weeks of gestation is in the Labor Room. Changes on the cardiotocogram are noted while she is on oxytocin infusion with regular contractions. The diagnosis of pre-eclampsia with severe features was entertained earlier and she was started on MgSO4 accordingly. The labor pain is well-controlled after initiation of epidural analgesia. On examination, the abdomen is showing a cephalic term pregnancy with 0/5 palpable head. Pelvic examination shows cervix is 6 cm dilated and fully effaced, presenting part is at +1 station. Which of the following would explain the cause of the cardiotocogram findings?","MgSO4 infusion","Oxytocin infusion","Epidural analgesia","Fetal head position","obstetrics and gynecology","Fetal head position"
1196,"A 40-year-old P6 patient attends the clinic complaining of dribbling of a small amount of urine with associated dyspareunia and dysuria. She denies any history of previous surgeries or the development of fever. Which of the following is the most likely cause of the symptoms?","Urge incontinence","Urethral diverticulum","Overflow incontinence","Stress urinary incontinence","obstetrics and gynecology","Urethral diverticulum"
1197,"A 40-year-old patient who is known to have COPD comes to the clinic complaining of small amounts of urine leaking every time she coughs. The patient denies having to wake up at night to pass urine and does not have dysuria or dyspareunia. BMI 40 kg/m². Which of the following is the most probable cause?","Stress urinary incontinence","Overflow incontinence","Urinary tract fistula","Urge incontinence","obstetrics and gynecology","Stress urinary incontinence"
1198,"A 60-year-old woman presents to the clinic complaining of urinary urgency, and frequent visits to the bathroom to urinate with painful urination and urinary incontinence. Which of the following is the most appropriate next step?","Urinalysis","Urodynamics","Botox injection","Ultrasound pelvis","obstetrics and gynecology","Urinalysis"
1199,"A 65-year-old postmenopausal woman presents with abdominal pain and bloating. Pelvic US shows complex ovarian mass. Which tumor marker is essential in workup?","CA 125","Inhibin","Beta-hCG","Alpha-fetoprotein","obstetrics and gynecology","CA 125"
1200,"A 62-year-old woman presents with abdominal pain, constipation, anorexia. TVUS shows multilocular ovarian mass. Diagnosed with advanced epithelial ovarian cancer. Most appropriate management?","Surgery alone","Chemotherapy alone","Surgery + radiotherapy","Surgery + chemotherapy","obstetrics and gynecology","Surgery + chemotherapy"
1201,"Which degenerative change of leiomyoma is most common during pregnancy?","Red degeneration","Fatty degeneration","Cystic degeneration","Hyaline degeneration","obstetrics and gynecology","Red degeneration"
1202,"Which is the first physical sign of female puberty?","Pubarche","Menarche","Thelarche","Adrenarche","obstetrics and gynecology","Thelarche"
1203,"Which immunoglobulin is predominant in breast milk?","IgA","IgM","IgG","IgE","obstetrics and gynecology","IgA"
1204,"What is the most common cause of morbidity in multiple gestation?","Prematurity","Birth trauma","Cerebral palsy","Congenital anomalies","obstetrics and gynecology","Prematurity"
1205,"A 25-week pregnant woman presents with backache, fever, rigors. Labs: proteinuria ++, leukocytes 8/hpf. Most appropriate immediate action?","Start oral antibiotics","Admit for IV antibiotics","Arrange renal ultrasound","Give dexamethasone","obstetrics and gynecology","Admit for IV antibiotics"
1206,"A previously healthy 20-year-old primigravida at 37 weeks suddenly died after developing SOB. CXR showed enlarged heart. Most likely diagnosis?","Myocardial infarction","Valvular heart disease","Ischemic heart disease","Peripartum cardiomyopathy","obstetrics and gynecology","Peripartum cardiomyopathy"
1207,"A 23-year-old primigravida at 38 weeks in active labor with headache. BP = 150/100 mmHg, elevated protein/creatinine ratio. Most likely diagnosis?","Preeclampsia","HELLP syndrome","Chronic hypertension","Gestational hypertension","obstetrics and gynecology","Preeclampsia"
1208,"A 39-week pregnant woman presents with sudden loss of fetal movement. Ultrasound confirms intrauterine fetal death. Immediate action?","Inform patient","Inform relatives","Advance preparation","Perform further tests","obstetrics and gynecology","Advance preparation"
1209,"What is the most appropriate action when examining a patient of opposite gender?","Be professional","Ask for a nurse chaperone","Build therapeutic relationship","Expose necessary parts only","obstetrics and gynecology","Ask for a nurse chaperone"
1210,"A 58-year-old menopausal woman presents with sexual dysfunction and dyspareunia. Vaginal atrophy noted. Most appropriate treatment?","Viagra","Estrogen","Testosterone","Progesterone","obstetrics and gynecology","Estrogen"
1211,"A 26-week pregnant woman at 8 weeks gestation presents with excessive nausea and vaginal bleeding. Uterus enlarged, no fetal heart sounds. High beta-hCG. Most likely diagnosis?","Ectopic pregnancy","Hydatidiform mole","Threatened abortion","Incomplete abortion","obstetrics and gynecology","Hydatidiform mole"
1212,"A 23-year-old Rh-negative primigravida at 28 weeks. Husband Rh-positive. No prior sensitization. Most appropriate management?","Amniocentesis","Administer Rh immunoglobulin","Repeat antibody titer every 2 weeks","Fetal ultrasound assessment","obstetrics and gynecology","Administer Rh immunoglobulin"
1213,"A 40-year-old woman P5005 with strong family history of ovarian cancer and BMI = 31 kg/m². Most appropriate counseling?","Be physically active","Maintain healthy weight","Limit fast food consumption","Meet nutritional needs through diet alone","obstetrics and gynecology","Maintain healthy weight"
1214,"A newly married couple disagrees on discontinuation of OCPs. Wife refuses to stop. Best approach?","Be empathetic","Support wife","Support husband","Mutual consent required for contraception","obstetrics and gynecology","Mutual consent required for contraception"
1215,"A 23-year-old nulliparous woman with 2 years of infertility. Menstrual cycles regular. Which hormone best confirms ovulation?","LH","FSH","Estrogen","Progesterone","obstetrics and gynecology","Progesterone"
1216,"A 30-year-old G3 P1010 at 24 weeks presents with preterm labor. Prior delivery at 34 weeks. Best method to assess risk of recurrence?","Fetal bronectin","Uterine contractions","Serial pelvic exams","Cervical length measurement","obstetrics and gynecology","Cervical length measurement"
1217,"A 40-week pregnant woman at 32 weeks with two prior C-sections presents with painless vaginal bleeding. US shows partial placenta previa. CTG reactive. Most appropriate management?","Expectant management","Fetal biophysical profile","Immediate cesarean","Amniocentesis for lung maturity","obstetrics and gynecology","Expectant management"
1218,"A 26-week pregnant woman with 7-week amenorrhea and closed cervix presents with mild vaginal bleeding. Uterus size consistent with gestation. Most likely type of abortion?","Complete","Inevitable","Threatened","Incomplete","obstetrics and gynecology","Threatened"
1219,"A 33-year-old woman delivered vaginally with mediolateral episiotomy. One hour later, she has a tense, painful perineal swelling. Most appropriate management?","Packing","Aspiration","Observation","Surgical evacuation","obstetrics and gynecology","Surgical evacuation"
1220,"A 40-week pregnant woman at 37 weeks with polyhydramnios and active labor. CTG shows persistent fetal bradycardia. Most likely diagnosis?","Cord prolapse","Rapid fetal descent","Placental insufficiency","Congenital heart abnormalities","obstetrics and gynecology","Cord prolapse"
1221,"A 30-year-old primigravida at 10 weeks presents with abdominal pain and vaginal bleeding. Cervix partially dilated. Product of conception palpable. Most likely type of abortion?","Missed","Inevitable","Incomplete","Threatened","obstetrics and gynecology","Inevitable"
1222,"A 45-year-old woman P5005 complains of severe dysmenorrhea and menorrhagia. Uterus enlarged and tender. Endometrial biopsy normal. Most likely diagnosis?","Leiomyomas","Adenomyosis","Endometriosis","Uterine sarcoma","obstetrics and gynecology","Adenomyosis"
1223,"A 30-year-old woman at 6 weeks gestation presents with abdominal pain and vaginal bleeding. Positive pregnancy test, hCG = 4945 mIU/mL. US shows small right adnexal mass, no cardiac activity. Best management?","Serial hCG testing","Surgical salpingectomy","Expectant management","Medical treatment with methotrexate","obstetrics and gynecology","Medical treatment with methotrexate"
1224,"A 33-week pregnant woman presents with preterm rupture of membranes. Most appropriate next step?","Tocolytics","Antibiotics","Surfactant","Corticosteroids","obstetrics and gynecology","Antibiotics"
1225,"A 40-year-old woman at 38 weeks in active labor with intrauterine fetal death. Delivered baby placed on ventilator. She believes he is not dead. This is an example of which psychological reaction?","Denial","Escape","Acting out","Avoidance","obstetrics and gynecology","Denial"
1226,"A 30-year-old woman at 38 weeks refuses cesarean section for fetal distress despite explanation of risks. Most appropriate action?","Refer to another doctor","Deliver vaginally","Get permission from husband","Get hospital director approval","obstetrics and gynecology","Deliver vaginally"
1227,"A 32-week pregnant woman at 10 weeks presents with heavy vaginal bleeding. Diagnosed with incomplete abortion. Husband wants to sign consent but she refuses. Who signs consent?","Father","Doctor","Patient","Husband","obstetrics and gynecology","Patient"
1228,"A 27-year-old woman primigravida at 39 weeks gestation has been laboring for a few hours. Her cervix is 6 cm dilated, 80% effaced, and fetal vertex is at 0 station. Membranes have been ruptured for 20 hours and her labor is being augmented with oxytocin. Non-stress test is done. Which of the following is the most appropriate in management?","Discontinue oxytocin","Cesarean section","Amnioinfusion","Ampicillin","obstetrics and gynecology","Discontinue oxytocin"
1229,"A 25-year-old woman primigravida at 31+5 weeks gestation presents with abdominal cramping and lower back pain. She denies leaking of fluid from the vagina. Speculum examination shows no pooling liquor and nitrazine paper stays yellow. Cervical cultures are taken. Her cervix changes from closed and 50% effaced to 2 to 3 cm and 80% effaced. She is placed on fetal monitoring. Which of the following is the most appropriate next step in management?","Terbutaline","Cesarean section","Magnesium sulphate","Tocolytic therapy and corticosteroids","obstetrics and gynecology","Tocolytic therapy and corticosteroids"
1230,"A 34-year-old woman G3 P1011 at 30 weeks gestation is in preterm labor. She has received an initial bolus of 6 g of MgSO4 over 30 minutes and continuing on a maintenance rate of 4 g/hr for the last 2 days to reduce her contraction pattern to 1 every 15 minutes. Currently, the contractions are barely noticeable to her. Deep tendon reflexes are 0 bilaterally. Auscultation reveals crackles on her lung bases on deep inspiration. Which of the following is the best next step in management?","Calcium gluconate","Discontinue MgSO4","Switch to terbutaline","Serum magnesium level","obstetrics and gynecology","Discontinue MgSO4"
1231,"A 39-year-old woman primigravida presents at 39 weeks gestation for a routine visit. Physical examination is unremarkable. Cervix is 2 cm dilated and 90% effaced, with the fetal vertex at 0 station. Urine dipstick is done. Blood pressure 140/90 mmHg. Which of the following is the most appropriate management option?","Induction of labor","Immediate cesarean section","Admission to hospital for observation","Outpatient observation till 40 weeks gestation","obstetrics and gynecology","Induction of labor"
1232,"A 36-year-old woman with 10-year history of infertility due to male factor is brought to Emergency Room with vaginal bleeding and abdominal pain. Thereafter, she progresses to complete abortion at 8 weeks gestation while waiting for admission. She is crying and her husband is overwhelmed emotionally. Which of the following is the most appropriate next step?","Quick counseling and expedite admission","Explore, identify and respond to the couple emotion","Admission to postpartum ward based on her condition","Explore, identify the cause and respond to the couple with management plan","obstetrics and gynecology","Explore, identify and respond to the couple emotion"
1233,"A 30-year-old woman G5 P0030 and her husband present to the clinic at 9 weeks gestation with mild spotting after an intercourse, no abdominal pain reported. She has a history of 3 previous first trimester abortions. The couple are blaming themselves for the bleeding. They show a strong presentation of emotion. Which of the following is best way to deal with this situation?","Identify their emotion and calm them down","Empathic response is sufficient to calm them down","Understand their emotion without showing that to them","Explore and validate their emotion with empathic response","obstetrics and gynecology","Explore and validate their emotion with empathic response"
1234,"A 21-year-old woman married for 6 months brought to the Emergency Department by police with bruises on the face, chest and both hands. On examination, she looks sad with tears, sitting quiet, and facing down to the floor. Which of the following is the most appropriate approach for history and examination?","Invest me with clinical findings at the beginning","Explore and identify her sadness and find out more what is causing it","Introducing yourself with a big smile and proceed to a chief complaint","History and examination should be with the presence of the family member","obstetrics and gynecology","Explore and identify her sadness and find out more what is causing it"
1235,"A 28-year-old G4 P0121 at 28 weeks gestation, visitor to the country, presents with labor-like pain for 2 hours. On arrival, while trying to take history and to perform examination, the patient could not understand due to language barrier. She looks anxious and worries about her pregnancy, which is similar experience to her 4-year-old boy whom delivered prematurely. Which of the following is the most appropriate step in communication?","Showing an understanding to her emotion is inappropriate because of language barrier","Showing that her emotions cannot be validated because she had similar experience","Showing that her emotions are understood","Calling a help from other colleagues","obstetrics and gynecology","Showing that her emotions are understood"
1236,"A 37-year-old woman G2 P1001 at 20 weeks gestation presents for a routine prenatal visit. She has no complaints. Her previous pregnancy has been unremarkable. She has chronic hypertension and history of cholecystectomy. She admits to smoking cigarettes several packs a day for relaxation and says she has read several papers that show no increased risk of congenital anomalies. Doppler shows fetal heart rate at 156 beat per minute. Which of the following is the best course of action?","Schedule her in 4-week time in antenatal clinic","Refer her to a social worker for possible substance abuse","Educate her about the possibility of delivering a small infant","Acknowledge that she is correct about no increased risk of congenital anomalies","obstetrics and gynecology","Educate her about the possibility of delivering a small infant"
1237,"A 29-year-old primigravida presented in labor and progressed well and had a mediolateral episiotomy. Which of the following is a theoretical benefit to performing a mediolateral episiotomy compared to a midline episiotomy?","Improved healing","Less painful for patient","Decreased risk of infection","Decreased risk of fourth degree laceration","obstetrics and gynecology","Decreased risk of fourth degree laceration"
1238,"A 20-year-old primigravida at 39 weeks presents in labor and she progresses well. During the delivery, it is necessary to cut an episiotomy. However, the tear extends through the rectal mucosa. What is the classification of this type of perineal tear?","1ST degree","2ND degree","3RD degree","4TH degree","obstetrics and gynecology","4TH degree"
1239,"A 39-year-old G5 P2114 at 23 weeks gestation presents to her routine antenatal visit. Ultrasound shows a large fetus for date and she is scheduled for an oral glucose tolerance test (GTT). She had previous pregnancy ended up with preterm labor due to polyhydramnios. Result of GTT shows abnormal of fasting and 2-hour plasma glucose. Which of the following pathophysiology statements explains the above condition?","Normal pregnancy is a diabetogenic state mediated by placental inhibin hormone","Normal pregnancy is a diabetogenic state mediated by placental progesterone hormone","Normal pregnancy is a diabetogenic state mediated by placental estradiol hormone","Normal pregnancy is a diabetogenic state mediated by placental lactogen hormone","obstetrics and gynecology","Normal pregnancy is a diabetogenic state mediated by placental lactogen hormone"
1240,"A 17-year-old woman presents with her mother to the clinic complaining of never having had menstruation. On examination, she has webbing of her neck and cubitus valgus. Lacks pubic hairs and no breast development noted. The mother is worried about the daughter and would inquire about the simplest test to start with. Height 135 cm, Weight 46 kg. Which of the following is the simplest and most useful test?","Serum TSH and FT4","Serum FSH and LH","Serum estrogen","Serum prolactin","obstetrics and gynecology","Serum FSH and LH"
1241,"A 32-year-old G3 P0020 admitted to the hospital with an incomplete abortion. She underwent dilation and curettage during which excessive bleeding developed that required vigorous curettage. She returned to the clinic 6 months later complaining of no menstruation since her curettage despite positive premenstrual symptoms. Which layer of her endometrium is damaged based on history?","Spongy zone","Basalis zone","Compact zone","Functional zone","obstetrics and gynecology","Basalis zone"
1242,"A 51-year-old woman presents to her appointment complaining of hot flushes. She would like to get an explanation of her symptom. Which of the following involves hot flushes?","Subjective symptoms of vasomotor instability","Peripheral vasodilation reflecting an elevation of core body temperature","Peripheral vasodilation resulting from direct effect of elevated FSH and LH","Peripheral redistribution of blood flow leading to sweating and increased heart rate","obstetrics and gynecology","Peripheral redistribution of blood flow leading to sweating and increased heart rate"
1243,"A 17-year-old healthy girl and gymnast in her school team presents with history of the absence of menstruation. She reports that she develops breasts later than her friends and never began menses. On examination, her Tanner stage V development of breasts and pubic hair. Which of the following is the most likely cause of this girl primary amenorrhea?","Hypogonadotropic hypogonadism","Transverse vaginal septum","Testicular feminization","Gonadal agenesis","obstetrics and gynecology","Hypogonadotropic hypogonadism"
1244,"A 40-year-old woman has achieved a pregnancy via in-vitro fertilization and presents with her spouse at 11 weeks gestation to the clinic. Ultrasound shows a twin pregnancy. A 5-mm nuchal translucency (NT) is discovered in one of the fetuses. Which of the following is an implication of NT finding?","The fetus has a high risk of NT enlargement by 18 weeks gestation","The fetus has a high risk of cardiac malformation","The fetus has a high risk of neural tube defect","The fetus has a high risk of Turner syndrome","obstetrics and gynecology","The fetus has a high risk of cardiac malformation"
1245,"A 50-year-old woman presents with urinary leakage on coughing/straining. No medical or surgical history. Mild leakage on cough test. Most appropriate management?","Sacral colposuspension","Pelvic floor exercises","Colporrhaphy","Hysterectomy","obstetrics and gynecology","Pelvic floor exercises"
1246,"A 25-year-old woman concerned about sex with husband recently diagnosed with hepatitis B. She is seronegative. Best advice?","Abstinence","Start oral contraceptives","Resume normal sexual activity","Use condoms during intercourse","obstetrics and gynecology","Use condoms during intercourse"
1247,"Which is the most common cause of first-trimester miscarriage?","Obesity","Low folate levels","Cervical incompetence","Chromosomal abnormalities","obstetrics and gynecology","Chromosomal abnormalities"
1248,"A 35-week pregnant woman calls clinic: hCG level elevated. What does high hCG indicate?","Indicates ectopic pregnancy","Indicates molar pregnancy in second trimester","Causes hyperthyroidism via TRH stimulation","Most sensitive marker for Down syndrome","obstetrics and gynecology","Most sensitive marker for Down syndrome"
1249,"A 24-week primigravida at 30 weeks gestation presents with multiple small, soft lumps within the areola. Most likely diagnosis?","Lactiferous duct","Mondor's disease","Montgomery follicles","Fibrocystic breast changes","obstetrics and gynecology","Montgomery follicles"
1250,"A 21-year-old primigravida at 20 weeks with mitral stenosis. Which physiologic change increases risk of heart failure during pregnancy?","Increase in red cell mass","Increase in stroke volume","Increase in minute ventilation","Increase in renal plasma flow","obstetrics and gynecology","Increase in stroke volume"
1251,"When does ovulation typically occur in human menstrual cycle?","Within time of LH peak","Within 36 hours after LH peak","Within 36 hours before LH peak","Within 36 hours after estradiol peak","obstetrics and gynecology","Within 36 hours after LH peak"
1252,"A 36-year-old Para 1 requests genetic counseling. First child had sickle cell disease. Now remarried. Which prenatal test to offer first?","Multiple markers screening","Paternal chromosome analysis","Paternal hemoglobin electrophoresis","Maternal hemoglobin electrophoresis","obstetrics and gynecology","Paternal hemoglobin electrophoresis"
1253,"A 25-year-old G2 P1001 at 36+4 weeks post-cesarean presents with pain, bleeding, FHR = 160 bpm, minimal variability, late decelerations. Labs: Hb = 75 g/L, platelets = 110 x10⁹/L. Most likely diagnosis?","Placental abruption","Uterine rupture","Placenta previa","Vasa previa","obstetrics and gynecology","Placental abruption"
1254,"A 35-year-old G5 P2113 at booking appointment. LMP May 17, 2019. EDC using Naegele’s rule?","Feb 17, 2020","Feb 20, 2020","Feb 21, 2020","Feb 24, 2020","obstetrics and gynecology","Feb 24, 2020"
1255,"Which describes the uterus in early normal pregnancy?","Midway between pubis and umbilicus","Just above symphysis pubis","At level of umbilicus","Just above umbilicus","obstetrics and gynecology","Just above symphysis pubis"
1256,"A 23-year-old G4 P1112 presents with vaginal spotting, closed cervix, no pain. LMP was 7 weeks ago. Most likely diagnosis?","Missed abortion","Normal pregnancy","Inevitable abortion","Threatened abortion","obstetrics and gynecology","Threatened abortion"
1257,"A 33-year-old woman with 8-week amenorrhea. Pregnancy test positive. US shows empty uterus and right adnexal mass. Most likely abnormal process?","Cleavage","Fertilization","Implantation","Zygote formation","obstetrics and gynecology","Implantation"
